SampleID,Chronological age,Predicted age(LR),Predicted age(RF),Predicted age(MLP)
1307,62,63.18055964129924,58.91,56.732327
1990,12,13.08852393555484,12.396999998092651,11.419173
1521,58,59.79041149972876,58.91,65.12611
478,48,49.90017811224484,48.09,49.79498
1792,12,11.996059055432465,12.641000003814698,13.06004
1667,13,22.06795985439249,15.45,14.195092
2332,31,31.200511355493585,29.09,25.244045
178,84,80.62719146165696,81.13,78.25715
1106,3.0,7.119613398989294,5.997666682004929,2.0963671
1615,65,65.46357571458822,69.12,66.43703
1123,1.25,8.835354282204957,4.401333338022232,2.846
1807,16,13.060700887580122,12.95,13.659247
1237,61,63.624572053379254,69.04,59.045937
1601,48,51.47018894922479,53.86,49.86446
807,0.257534247,-9.357847994220371,0.25160045742988585,0.3429497
873,0.221917808,-6.708520542723498,0.2424657526612282,0.38069063
761,0.249315068,-8.843004372742612,0.2796552491188049,0.35553843
2469,61,55.1676629652057,64.08,65.45995
861,0.501369863,-0.7471523847493557,0.2401643830537796,0.33282024
1653,14,21.924309516215665,12.501000003814697,13.16906
662,98,72.16636840708053,77.37,88.24339
430,70,70.40282079202701,69.9,79.14292
902,18.0369609856263,15.628133011416189,18.326625785827638,19.32891
976,18.1902806297057,21.54637850671174,18.43281322479248,18.147001
962,18.6064339493498,24.35748633270375,18.655667476654052,18.46381
1694,12,15.447206670790347,15.51,13.489064
2033,35,38.39662460164066,41.57,40.864918
1788,16,14.191513508183537,14.17,13.472932
1468,66,62.38762672271616,63.11,58.71384
2057,46,48.005593172127064,48.09,46.38104
1361,57,54.04480302410255,57.93,56.07768
2107,17,23.841797624221222,16.49,15.844362
44,87,78.815838510287,79.22,78.7058
2078,47,52.54746961374343,52.59,51.87516
1728,13,17.458269398816142,14.96,13.314929
73,89,67.05830254090945,64.22,64.442116
194,76,69.56099449024637,71.96,71.18513
2254,74,67.56890803161491,65.37,63.69917
1272,60,60.40907719287327,65.34,61.18149
445,58,58.40026079819535,54.1,56.106426
1665,12,21.823363959785453,12.209000005722046,12.892356
2291,62,54.658781244920505,60.48,56.752117
368,54,46.22547581080504,41.89,45.334198
2561,32,40.63343642515803,33.53,32.08508
56,57,68.14476458216086,73.17,74.97369
1413,63,69.15212073515238,66.58,66.76607
2410,35,39.98287088705506,32.91,42.423397
1099,9.583333333333334,12.716232851583364,5.106833398342133,2.6387303
834,0.224657534,-5.239883230651309,0.24931506648659707,0.37251788
432,58,70.79247042594513,74.01,76.33756
367,58,56.73995141739754,58.42,54.745792
2020,14,18.309975651755227,14.81,13.354074
1018,18.5626283367556,16.763618045849725,18.5812455368042,17.678791
1979,12,13.36688471985902,12.5,12.5010195
414,59,51.98883544677961,51.26,55.150196
1261,60,50.62618777849452,56.74,52.91078
1503,72,71.52951662192802,69.78,68.35142
2474,58,57.183358918519914,66.5,66.596756
2479,59,51.739481816546586,61.18,60.87248
1714,50,42.80162537652005,52.37,52.387226
802,0.238356164,-3.200059454281778,0.478034248650074,0.2927161
282,53,50.88679104759268,59.42,59.476696
1738,12,12.76932611494587,12.235,11.619742
407,62,53.5698379632148,61.314346351623534,55.897663
1316,58,66.23762968798611,59.07,60.936077
621,66,63.49237184546796,72.23,73.09402
1455,56,59.50511078795476,50.24,54.080223
1389,45,48.6347037730326,48.78,45.662785
246,62,55.367506492406875,56.98,59.26665
70,73,58.96198908630204,61.26,61.266487
1444,63,65.56309377384876,60.56,58.585526
1502,47,56.268924607201626,52.09,59.04079
239,75,78.72032421267846,78.27,81.88091
764,0.249315068,-4.324359509618219,0.2594520503282547,0.35363084
324,60,54.1257037869286,45.36,49.516415
188,74,71.36392709185607,76.77,92.27666
1582,51,56.354508963774634,58.72,57.104458
2090,15,18.385574128160474,16.916666650772093,15.35451
2398,32,43.8877422814017,31.67,30.4525
1251,61,59.701997376745794,56.26,60.820755
2560,60,63.64503192900246,60.98,64.09256
2248,45,38.25278808443541,42.48,41.012753
1917,10,3.978822184334547,9.177089045643806,7.4303975
2009,14,24.844430801094692,15.28,11.979291
1512,67,57.09296708509578,56.93,59.159733
670,89,89.75349654547591,82.93,114.65853
508,66,40.03449093597162,37.73,40.02524
43,73,60.417173691947106,71.77,67.92418
890,18.4859685147159,35.415304840596804,18.396262798309326,19.275364
1830,12,14.830434735674114,12.24,12.884195
1594,48,53.42517281948597,51.7,50.275406
840,0.197260274,-0.7334045108294163,0.26619177773594854,0.34097058
1861,48,44.3049648062995,51.86,44.86971
1591,69,61.75768641058485,65.42,63.53395
1005,18.6447638603696,17.573018432710498,18.501369018554687,18.16904
1609,61,61.65818935896868,68.9,63.513596
1972,12,10.090043697213066,12.896666669845581,12.359128
1185,54,49.59755557797326,48.82,44.149662
1393,65,61.9464554249996,60.55,69.72621
2272,70,67.38106918465071,67.56,69.00385
1847,14,16.476649471238165,14.909166679382324,13.839793
1524,53,54.2958643394535,53.95,54.658382
2381,34,31.68639329501979,33.46,32.475887
2059,17,20.459727518608567,16.58,14.502254
1575,54,65.96988167333913,67.44,58.78004
678,0,-18.812358257439904,0.002301369905471802,0.007523939
2072,12,17.111799968591416,12.781000003814697,11.6125555
1163,63,55.70472175189465,60.0,58.43336
298,49,51.5117889837792,45.7,49.77651
1477,67,70.85123556152215,69.35,62.089165
2453,63,65.35544401873075,66.23,58.619244
2530,36,33.66228991978481,32.8,32.586758
532,27,42.78225966822399,38.02,33.722378
1812,47,40.42703097512357,43.24,38.508316
2069,47,43.33164614651088,39.91,40.957546
900,18,14.700554134366548,18.560472297668458,16.858109
2384,34,28.175202187259877,32.83,35.61417
1220,38,53.346381115307025,46.81,45.046856
175,71,67.3857083372086,72.15,68.167625
1047,18.2861054072553,14.847690406700348,18.603764514923096,17.329248
233,73,83.31982761266411,77.59,77.51096
464,59,49.01780031486095,56.63,53.503475
2528,59,46.805027058594554,61.77,56.97478
2185,12,10.708609469357949,14.49083333015442,12.429436
2478,35,47.48037448018865,35.22,37.81889
1124,12.416666666666666,11.412545833628936,5.711666687726974,5.392084
565,25,37.6159249000562,18.180833339691162,20.285748
289,59,51.950341631086324,62.3,58.11063
647,79,71.07046232221718,76.05,80.35049
2286,65,73.61019102897768,67.02,67.50294
544,55,53.60249743196028,58.01,55.366947
522,72,83.87386230132367,76.25,72.021355
945,18.8966461327858,45.37250233362596,18.41637243270874,15.993732
2362,36,40.428445697021914,33.99,34.037712
196,82,77.2444298950067,81.11,84.6687
809,0.512328767,0.45731600441631315,0.349488583356142,0.34118015
1041,18.735112936345,27.951151522100794,18.42495553970337,17.943298
1660,12,14.747119002980952,12.155000002384186,12.740768
931,18.8227241615332,23.360406859742426,18.34020534515381,16.988655
354,53,45.04283264478578,42.01,47.232338
93,66,71.49348285940061,71.69,76.75523
2373,35,38.903873691453164,33.64,33.63727
1437,70,63.581390788782606,68.0,62.09536
1851,42,43.35858459203956,40.08,43.47851
211,77,75.77049433435005,76.65,76.68194
134,58,48.930946459324744,50.98,40.95563
2363,36,38.537433428476405,34.89997262954712,38.120625
1864,40,34.75446990823689,43.78,31.541368
296,52,34.97355028915263,48.44,39.741077
1673,38,36.78994781609971,40.2,31.569271
173,80,69.0475112531612,75.56,74.50291
1651,14,13.66514272145779,13.45,12.152261
2312,60,62.96001342082221,62.57,62.329823
736,9,20.74209372253474,10.615999927520752,9.002024
2136,16,24.020034880976592,16.65,14.253097
2324,59,66.80321349135171,62.71,56.084213
1102,1.25,5.488778001334218,2.6841666889190674,2.243932
2165,12,20.685371918784245,15.39,13.842383
1554,52,46.09849255181635,53.11,44.1393
1472,79,56.631648629850595,57.3,60.83093
1933,55,57.5941256522853,57.12,61.45907
170,38,48.952465802376615,43.32,49.923046
1190,67,68.7368913112339,75.97,68.007515
1273,60,60.650810340935735,67.89,68.859566
210,63,55.348881742580346,62.53,54.781754
1875,12,15.016731498003118,13.0,12.921784
857,0.221917808,5.722813857504754,0.24717807978391648,0.39018804
1259,57,46.905925116857176,52.57,48.92303
2224,41,41.92297138244058,46.96,47.36455
1900,12,12.289358530997568,12.402500011920928,11.6110525
781,0.219178082,-2.7901644093491242,0.23813698306679726,0.3885935
2094,14,24.2456700945228,13.048000001907349,12.814679
